type_name,sub_type_of,core_type,is_core_category,change_of_ownership,change_of_custody,end_of_existence
event,,,False,False,False,False
left-in-situ,event,left-in-situ,True,False,False,False
recorded,event,recorded,True,False,False,False
rescued,event,rescued,True,True,True,False
salvaged,rescued,rescued,False,True,True,False
modified,event,modified,True,False,False,False
restored,modified,modified,False,False,False,False
unknown,event,unknown,True,False,False,False
kept,event,kept,True,False,False,False
displayed,event,displayed,True,False,False,False
used,event,used,True,False,False,False
used-as-café,used,used,False,False,False,False
used-interpretation,used,used,False,False,False,False
used-set_dressing,used,used,False,False,False,False
used-as-facility,used,used,False,False,False,False
used-for-storage,used,used,False,False,False,False
used-teaching,used,used,False,False,False,False
stored,event,stored,True,False,False,False
stored-temporary,stored,stored,False,False,True,False
stored-onsite,stored,stored,False,False,False,False
stored-offsite,stored,stored,False,False,True,False
damaged/destroyed,event,damaged/destroyed,True,False,False,True
interred,damaged/destroyed,damaged/destroyed,False,False,False,True
vandalised,damaged/destroyed,damaged/destroyed,False,False,False,False
damaged,damaged/destroyed,damaged/destroyed,False,False,False,False
thrown-away,damaged/destroyed,damaged/destroyed,False,False,False,True
scrapped,damaged/destroyed,damaged/destroyed,False,False,False,True
sank,damaged/destroyed,damaged/destroyed,False,False,False,False
destroyed-fire,damaged/destroyed,damaged/destroyed,False,False,False,True
lost/stolen,event,lost/stolen,True,False,True,False
stolen,lost/stolen,lost/stolen,False,False,True,False
lost,lost/stolen,lost/stolen,False,False,True,False
returned,event,returned,True,False,True,False
donation-returned,returned,returned,False,True,True,False
loans-returned,returned,returned,False,False,True,False
sold,event,sold,True,True,True,False
auction sale,sold,sold,False,True,True,False
sold-at-auction,auction sale,sold,False,True,True,False
sent-to-auction,auction sale,sold,False,True,True,False
direct sale,sold,sold,False,True,True,False
transferred,event,transferred,True,True,True,False
acquired by liquidator,transferred,transferred,False,True,True,False
acquired by liquidation,transferred,transferred,False,True,True,False
rehomed,transferred,transferred,False,True,True,False
given,transferred,transferred,False,True,True,False
loaned,event,loaned,True,False,True,False
moved,event,moved,True,False,True,False
