type_name,sub_type_of,core_type,is_core_category,change_of_ownership,change_of_custody,end_of_existence,contributes_to_length_calculation,definition,total_instances
event,,,False,False,False,False,False,Generic category for events,1710.0
moved,event,moved,True,False,True,False,False,Moved to a new location (but not necessarily transferred to a new owner),47.0
loaned,event,loaned,True,False,True,False,False,Loaned to a new museum,187.0
transferred,event,transferred,True,True,True,False,True,Transferred to a new custodian,547.0
given,transferred,transferred,False,True,True,False,True,Given to another - usually a museum,
sold,event,sold,True,True,True,False,True,Sold but not known whether a direct sale or at auction,239.0
direct sale,sold,sold,False,True,True,False,True,Direct sale (i.e. not sent to auction),55.0
auction sale,sold,sold,False,True,True,False,True,An event which encompasses both sending to auction and sale at auction,126.0
sent-to-auction,auction sale,sold,False,True,True,False,True,Sent by the seller to an auction house,95.0
sold-at-auction,auction sale,sold,False,True,True,False,True,Sold by an auction house to a buyer,31.0
returned,event,returned,True,False,True,False,True,Category of return events (e.g. loans-returned),104.0
loans-returned,returned,returned,False,False,True,False,True,Returned to lender(s),91.0
donation-returned,returned,returned,False,True,True,False,True,Returned to donor(s),11.0
lost/stolen,event,lost/stolen,True,False,True,False,False,Category of lost and stolen events,5.0
lost,lost/stolen,lost/stolen,False,False,True,False,False,Object has been lost,2.0
stolen,lost/stolen,lost/stolen,False,False,True,False,False,Object has been stolen,3.0
damaged/destroyed,event,damaged/destroyed,True,False,False,True,True,Category of damage and destruction events,49.0
destroyed-fire,damaged/destroyed,damaged/destroyed,False,False,False,True,True,Destroyed in a fire,7.0
sank,damaged/destroyed,damaged/destroyed,False,False,False,False,True,Boat or ship has sunk,2.0
scrapped,damaged/destroyed,damaged/destroyed,False,False,False,True,True,Sent to a scrapyard,12.0
thrown-away,damaged/destroyed,damaged/destroyed,False,False,False,True,True,Object has been thrown away,23.0
damaged,damaged/destroyed,damaged/destroyed,False,False,False,False,False,Damaged accidentally,3.0
vandalised,damaged/destroyed,damaged/destroyed,False,False,False,False,False,Damaged deliberately,1.0
stored,event,stored,True,False,False,False,True,Stored but location unknown,213.0
stored-offsite,stored,stored,False,False,True,False,True,Stored by the recipient at another site,74.0
stored-onsite,stored,stored,False,False,False,False,True,Stored by the recipient at their site,40.0
stored-temporary,stored,stored,False,False,True,False,True,Stored temporarily,9.0
used,event,used,True,False,False,False,False,"Object is used, rather than being stored or displayed",11.0
used-teaching,used,used,False,False,False,False,False,Used for teaching purposes,3.0
used-for-storage,used,used,False,False,False,False,False,"Used as a storage facility, e.g. a rail van used as a store",1.0
used-as-facility,used,used,False,False,False,False,False,Used as part of the facilities (e.g. as a leaflet rack),3.0
used-set_dressing,used,used,False,False,False,False,False,Kept by closed museum as decoration,2.0
used-interpretation,used,used,False,False,False,False,False,Used for interpretation purposes,1.0
displayed,event,displayed,True,False,False,False,False,On display,164.0
used-as-café,used,used,False,False,False,False,False,Used as a café,1.0
kept,event,kept,True,False,False,False,False,Kept by the closed museum,50.0
unknown,event,unknown,True,False,False,False,False,Unknown,7.0
modified,event,modified,True,False,False,False,False,"Object has been changed in some way, such as being cut up",20.0
restored,modified,modified,False,False,False,False,False,Restoration or conservation,15.0
rescued,event,rescued,True,True,True,False,False,"Rescued, e.g. from a fire or to prevent disposal",5.0
salvaged,rescued,rescued,False,True,True,False,False,"Object rescued, e.g. a sunken boat lifted from the water",3.0
recorded,event,recorded,True,False,False,False,False,"Object has been recorded, e.g. for details of condition and construction",2.0
left-in-situ,event,left-in-situ,True,False,False,False,False,Object remains in place,60.0
interred,damaged/destroyed,damaged/destroyed,False,False,False,True,True,Human remains have been buried,1.0
rehomed,transferred,transferred,False,True,True,False,True,Animals have been rehomed,1.0
acquired by liquidation,transferred,transferred,False,True,True,False,True,Ownership was transferred by default via a liquidation process,5.0
acquired by liquidator,transferred,transferred,False,True,True,False,True,Transferred to liquidator (prior to sale/disposal),1.0
